index;step_length;step_width
1;0.5625424881033311;0.08327668252889191
2;0.5285520054384772;0.15805574439157036
3;0.4877634262406526;0.2549286199864038
4;0.4554724677090415;0.10027192386131883
5;0.5098572399728076;0.18864717878993884
6;0.4707681849082257;0.3467029231815092
7;0.4945615227736234;0.12066621346023114
mean;0.5013596193065942;0.1789356123142663
standard_deviation;0.033439745336896455;0.08716570491236013
