index;step_length;step_width
1;0.6373215499660095;0.1733514615907546
2;0.7053025152957172;0.33990482664853844
3;0.6356220258327668;0.1291638341264446
4;0.5914343983684569;0.2583276682528892
5;0.6441196464989803;0.1291638341264446
mean;0.6427600271923862;0.2059823249490143
standard_deviation;0.036409503305971286;0.08190507400042983
